OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES_baseline,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,EditDate,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name
186,1018,Sargent Cherry,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,3.7,4.5,0,,15.67,11.29,Alive,N,1,Good,,Center right backyard inline with Kousa,BY,SFR-D,10,33,NA,NA,24.3,18,Alive,N,3,Fair,Crack in bark ,"TH, CK, JA",9/30/2023 16:45,THonnef_clarku,0,0,1,173784.9428,895995.0816,-71.81799244,42.31400132,
187,1004,Kousa Dogwood,ARARAT ST,111,Worcester,Fall 2010,6/24/2014 0:00,BY,SFR-D,1.2,4.5,NA,,8.5,5.6,Alive,N,1,Good,,lt side of yd - centered between windows about 10' from building,SY,SFR-D,4.9,37,NA,NA,15,22.5,Alive,N,1,Good,NA,JA CK,9/28/2023 18:42,JaAndrews_clarku,0,1,0,174356.9962,896003.002,-71.81105376,42.31409162,
189,13509,Kousa Dogwood,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,FY,SFR-D,1.3,4.5,0,,9,7.38,Alive,N,1,Good,,centered right front of house,FY,SFR-D,4.8,9,NA,NA,9,10,Alive,N,1,Good,Mulch volcano ,"TH, CK, JA",9/30/2023 16:38,THonnef_clarku,0,1,0,173870.3654,896011.8271,-71.81695702,42.31415494,
190,1015,Japanese Tree Lilac,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,FY,SFR-D,2.5,4.5,0,,11.83,6.75,Alive,N,1,Good,,centered left of walkway,FY,SFR-D,6.8,48,NA,NA,22.3,13.5,Alive,N,1,Good,NA,"TH, CK, JA",9/30/2023 16:42,THonnef_clarku,0,0,1,173801.1128,896012.3765,-71.81779708,42.31415757,
191,1016,Kousa Dogwood,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,FY,SFR-D,1.8,2.5,0,,9,8,Alive,N,1,Good,,Front yard right of walkway spaced evenly with JTL,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",9/30/2023 16:40,THonnef_clarku,0,1,0,173795.1872,896015.0431,-71.81786908,42.31418137,
192,13510,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.8,4.5,0,,14.83,6.25,Alive,N,1,Good,,4 inline back left corner evenly spaced,BY,SFR-D,3.6,48,NA,NA,16,14.4,Alive,N,2,Fair,,"TH, CK, JA",9/30/2023 18:34,THonnef_clarku,0,0,1,173861.7175,896041.3315,-71.81706325,42.31442027,
193,13514,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.2,4.5,0,,8,4.04,Alive,N,1,Good,,3 inline right rear yard starting 5' from stump behind shed,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK TH,9/30/2023 18:41,JaAndrews_clarku,0,0,1,173882.3402,896044.0999,-71.81681322,42.31444589,
194,13511,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.1,4.5,0,,10,4,Alive,N,2,Fair,,4 inline back left corner evenly spaced,BY,SFR-D,2.8,54,NA,NA,16.6,11.5,Alive,N,2,Fair,NA,"TH, CK, JA",9/30/2023 18:35,THonnef_clarku,0,0,1,173865.6554,896050.8122,-71.81701591,42.31450576,
195,13513,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.7,4.5,0,,9.83,0,Alive,N,1,Good,Could not reach to measure width,3 inline right rear yard starting 5' from stump behind shed,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK TH,9/30/2023 18:41,JaAndrews_clarku,0,0,1,173882.1733,896052.5075,-71.81681562,42.31452157,
196,13512,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.5,4.5,0,,9.5,7.08,Alive,N,1,Good,,4 inline back left corner evenly spaced,BY,SFR-D,4.1,54,NA,NA,19.6,10.5,Alive,N,2,Fair,NA,"TH, CK, JA",9/30/2023 18:36,THonnef_clarku,0,0,1,173869.2031,896058.4424,-71.81697322,42.31457457,
197,13517,Japanese Tree Lilac,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.5,4.5,0,,8.5,0,Alive,N,2,Good,Could not reach to measure width,3 inline right rear yard starting 5' from stump behind shed,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK TH,9/30/2023 18:42,JaAndrews_clarku,0,0,1,173884.3528,896059.7801,-71.81678951,42.31458712,
198,12599,Colorado Spruce,ARARAT ST,148,Worcester,Fall 2011,6/24/2014 0:00,BY,SFR-D,NA,,NA,,NA,NA,Standing Dead,N,NA,,,Left side of yard near tennis court 1 of 2,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",9/30/2023 18:50,THonnef_clarku,0,0,1,173993.8279,896063.5671,-71.81546173,42.31462487,
199,13516,Crabapple,ARARAT ST,164,Worcester,Spring 2011,7/7/2015 0:00,BY,SFR-D,1.3,4.5,0,,11,9,Alive,N,1,Good,,4 inline back of property infront of pines evenly spaced,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",9/30/2023 18:41,THonnef_clarku,0,1,0,173877.9638,896066.2697,-71.8168673,42.31464533,
